"Daily Date","Share Code","Year High (GH¢)","Year Low (GH¢)","Previous Closing Price - VWAP (GH¢)","Opening Price (GH¢)","Last Transaction Price (GH¢)","Closing Price - VWAP (GH¢)","Price Change (GH¢)","Closing Bid Price (GH¢)","Closing Offer Price (GH¢)","Total Shares Traded","Total Value Traded (GH¢)"
"31/03/2023","ACCESS","4.01","4.00","4.00","4.00","4.00","4.00","0.00","0.00","4.00","0.00","0.00"
"31/03/2023","ADB","5.06","5.06","5.06","5.06","5.06","5.06","0.00","0.00","5.06","0.00","0.00"
"31/03/2023","AGA","37.00","37.00","37.00","37.00","37.00","37.00","0.00","37.00","0.00","0.00","0.00"
"31/03/2023","ALW","0.10","0.10","0.10","0.10","0.10","0.10","0.00","0.10","0.00","0.00","0.00"
"31/03/2023","ASG","8.87","8.87","8.87","8.87","8.87","8.87","0.00","8.87","0.00","0.00","0.00"
"31/03/2023","BOPP","11.67","7.65","10.61","10.61","11.67","11.67","1.06","10.61","11.67","1,589.00","18,543.63"
"31/03/2023","CAL","0.65","0.50","0.50","0.50","0.50","0.50","0.00","0.50","0.00","4,468.00","2,234.00"
"31/03/2023","CLYD","0.03","0.03","0.03","0.03","0.03","0.03","0.00","0.00","0.00","12.00","0.36"
"31/03/2023","CMLT","0.10","0.10","0.10","0.10","0.10","0.10","0.00","0.00","0.10","0.00","0.00"
"31/03/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"31/03/2023","DASPHARMA","0.40","0.40","0.40","0.40","0.40","0.40","0.00","0.00","0.40","160.00","64.00"
"31/03/2023","EGH","6.64","5.40","5.40","5.40","5.40","5.40","0.00","4.87","5.40","371.00","2,003.40"
"31/03/2023","EGL","3.20","3.00","3.00","3.00","3.00","3.00","0.00","0.00","3.00","1.00","3.00"
"31/03/2023","ETI","0.15","0.15","0.15","0.15","0.15","0.15","0.00","0.00","0.15","1,071.00","160.65"
"31/03/2023","FML","3.00","1.29","1.43","1.43","1.29","1.29","-0.14","0.00","1.50","5,881.00","7,616.17"
"31/03/2023","GCB","3.94","3.15","3.15","3.15","3.15","3.15","0.00","3.15","0.00","965.00","3,039.75"
"31/03/2023","GGBL","2.05","1.37","1.50","1.50","1.50","1.50","0.00","1.50","0.00","1,010.00","1,515.00"
"31/03/2023","GOIL","1.72","1.64","1.64","1.64","1.64","1.64","0.00","1.64","0.00","0.00","0.00"
"31/03/2023","MAC","5.38","5.38","5.38","5.38","5.38","5.38","0.00","0.00","0.00","0.00","0.00"
"31/03/2023","MTNGH","1.30","0.82","1.22","1.22","1.25","1.25","0.03","1.30","1.40","1,189,699.00","1,487,405.15"
"31/03/2023","PBC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.00","0.02","1,050.00","21.00"
"31/03/2023","RBGH","0.54","0.54","0.54","0.54","0.54","0.54","0.00","0.00","0.52","11.00","5.72"
"31/03/2023","SCB","20.16","17.10","17.10","17.10","17.10","17.10","0.00","15.40","0.00","0.00","0.00"
"31/03/2023","SIC","0.31","0.31","0.31","0.31","0.31","0.31","0.00","0.00","0.28","426.00","119.28"
"31/03/2023","SOGEGH","1.00","0.62","0.62","0.62","0.62","0.62","0.00","0.00","0.66","0.00","0.00"